_id,code,name
068eb6a7-fd1d-431c-aca3-78b2f8bab724,TCD,Республика Чад
068eb6a7-fd1d-431c-aca3-78b2f8bab725,AUT,Австрийская Республика
068eb6a7-fd1d-431c-aca3-78b2f8bab726,COM,Союз Коморы
068eb6a7-fd1d-431c-aca3-78b2f8bab727,GAB,Габонская Республика
068eb6a7-fd1d-431c-aca3-78b2f8bab728,PSE,Государство Палестина
068eb6a7-fd1d-431c-aca3-78b2f8bab729,GLP,Гваделупа
068eb6a7-fd1d-431c-aca3-78b2f8bab730,IRN,Исламская Республика Иран
068eb6a7-fd1d-431c-aca3-78b2f8bab731,HND,Республика Гондурас
068eb6a7-fd1d-431c-aca3-78b2f8bab732,JPN,Япония
068eb6a7-fd1d-431c-aca3-78b2f8bab733,IRL,Ирландия
068eb6a7-fd1d-431c-aca3-78b2f8bab734,KEN,Республика Кения
068eb6a7-fd1d-431c-aca3-78b2f8bab735,KGZ,Киргизская Республика
068eb6a7-fd1d-431c-aca3-78b2f8bab736,MLT,Республика Мальта
068eb6a7-fd1d-431c-aca3-78b2f8bab737,MOZ,Республика Мозамбик
068eb6a7-fd1d-431c-aca3-78b2f8bab738,NCL,Новая Каледония
068eb6a7-fd1d-431c-aca3-78b2f8bab739,ABW,Аруба
068eb6a7-fd1d-431c-aca3-78b2f8bab740,SVK,Словацкая Республика
068eb6a7-fd1d-431c-aca3-78b2f8bab741,SWZ,Королевство Свазиленд
068eb6a7-fd1d-431c-aca3-78b2f8bab742,TZA,Объединенная Республика Танзания
068eb6a7-fd1d-431c-aca3-78b2f8bab743,WLF,Уоллис И Футуна
068eb6a7-fd1d-431c-aca3-78b2f8bab744,SGP,Республика Сингапур
068eb6a7-fd1d-431c-aca3-78b2f8bab745,VNM,Социалистическая Республика Вьетнам
068eb6a7-fd1d-431c-aca3-78b2f8bab746,SVN,Республика Словения
068eb6a7-fd1d-431c-aca3-78b2f8bab747,SOM,Федеративная Республика Сомали
068eb6a7-fd1d-431c-aca3-78b2f8bab748,ZAF,Южно-африканская Республика
068eb6a7-fd1d-431c-aca3-78b2f8bab749,ZWE,Республика Зимбабве
068eb6a7-fd1d-431c-aca3-78b2f8bab750,ESP,Королевство Испания
068eb6a7-fd1d-431c-aca3-78b2f8bab751,SSD,Республика Южный Судан
068eb6a7-fd1d-431c-aca3-78b2f8bab752,SDN,Республика Судан
068eb6a7-fd1d-431c-aca3-78b2f8bab753,ESH,Западная Сахара
068eb6a7-fd1d-431c-aca3-78b2f8bab754,SJM,Шпицберген И Ян Майен
068eb6a7-fd1d-431c-aca3-78b2f8bab755,SUR,Республика Суринам
068eb6a7-fd1d-431c-aca3-78b2f8bab756,CHE,Швейцарская Конфедерация
068eb6a7-fd1d-431c-aca3-78b2f8bab757,SWE,Королевство Швеция
068eb6a7-fd1d-431c-aca3-78b2f8bab758,SYR,Сирийская Арабская Республика
068eb6a7-fd1d-431c-aca3-78b2f8bab759,TJK,Республика Таджикистан
068eb6a7-fd1d-431c-aca3-78b2f8bab760,THA,Королевство Таиланд
068eb6a7-fd1d-431c-aca3-78b2f8bab761,TGO,Тоголезская Республика
068eb6a7-fd1d-431c-aca3-78b2f8bab762,TKL,Токелау
068eb6a7-fd1d-431c-aca3-78b2f8bab763,TON,Королевство Тонга
068eb6a7-fd1d-431c-aca3-78b2f8bab764,TTO,Республика Тринидад И Тобаго
068eb6a7-fd1d-431c-aca3-78b2f8bab765,ARE,Объединенные Арабские Эмираты
068eb6a7-fd1d-431c-aca3-78b2f8bab766,TUN,Тунисская Республика
068eb6a7-fd1d-431c-aca3-78b2f8bab767,TUR,Турецкая Республика
068eb6a7-fd1d-431c-aca3-78b2f8bab768,TKM,Туркменистан
