name,amount,hotelid
Люкс номер 0,0,068eb6a7-fd1d-431c-aca3-78b2f8000060
Люкс номер 1,1,068eb6a7-fd1d-431c-aca3-78b2f8000061
Люкс номер 2,2,068eb6a7-fd1d-431c-aca3-78b2f8000062
Люкс номер 3,3,068eb6a7-fd1d-431c-aca3-78b2f8000063
Люкс номер 4,4,068eb6a7-fd1d-431c-aca3-78b2f8000064
Люкс номер 5,5,068eb6a7-fd1d-431c-aca3-78b2f8000065
Люкс номер 6,6,068eb6a7-fd1d-431c-aca3-78b2f8000066
Люкс номер 7,7,068eb6a7-fd1d-431c-aca3-78b2f8000067
Люкс номер 8,8,068eb6a7-fd1d-431c-aca3-78b2f8000068
Люкс номер 9,0,068eb6a7-fd1d-431c-aca3-78b2f8000060
Люкс номер 10,1,068eb6a7-fd1d-431c-aca3-78b2f8000061
Люкс номер 11,2,068eb6a7-fd1d-431c-aca3-78b2f8000062
Люкс номер 12,3,068eb6a7-fd1d-431c-aca3-78b2f8000063
Люкс номер 13,4,068eb6a7-fd1d-431c-aca3-78b2f8000064
Люкс номер 14,5,068eb6a7-fd1d-431c-aca3-78b2f8000065
Люкс номер 15,6,068eb6a7-fd1d-431c-aca3-78b2f8000066
Люкс номер 16,7,068eb6a7-fd1d-431c-aca3-78b2f8000067
Люкс номер 17,8,068eb6a7-fd1d-431c-aca3-78b2f8000068
Люкс номер 18,0,068eb6a7-fd1d-431c-aca3-78b2f8000060
Люкс номер 19,1,068eb6a7-fd1d-431c-aca3-78b2f8000061
Люкс номер 20,2,068eb6a7-fd1d-431c-aca3-78b2f8000062
Люкс номер 21,3,068eb6a7-fd1d-431c-aca3-78b2f8000063
Люкс номер 22,4,068eb6a7-fd1d-431c-aca3-78b2f8000064
Люкс номер 23,5,068eb6a7-fd1d-431c-aca3-78b2f8000065
Люкс номер 24,6,068eb6a7-fd1d-431c-aca3-78b2f8000066
Люкс номер 25,7,068eb6a7-fd1d-431c-aca3-78b2f8000067
Люкс номер 26,8,068eb6a7-fd1d-431c-aca3-78b2f8000068
Люкс номер 27,0,068eb6a7-fd1d-431c-aca3-78b2f8000060
Люкс номер 28,1,068eb6a7-fd1d-431c-aca3-78b2f8000061
Люкс номер 29,2,068eb6a7-fd1d-431c-aca3-78b2f8000062
Люкс номер 30,3,068eb6a7-fd1d-431c-aca3-78b2f8000063
Люкс номер 31,4,068eb6a7-fd1d-431c-aca3-78b2f8000064
Люкс номер 32,5,068eb6a7-fd1d-431c-aca3-78b2f8000065
Люкс номер 33,6,068eb6a7-fd1d-431c-aca3-78b2f8000066
Люкс номер 34,7,068eb6a7-fd1d-431c-aca3-78b2f8000067
Люкс номер 35,8,068eb6a7-fd1d-431c-aca3-78b2f8000068
Люкс номер 36,0,068eb6a7-fd1d-431c-aca3-78b2f8000060
Люкс номер 37,1,068eb6a7-fd1d-431c-aca3-78b2f8000061
Люкс номер 38,2,068eb6a7-fd1d-431c-aca3-78b2f8000062
Люкс номер 39,3,068eb6a7-fd1d-431c-aca3-78b2f8000063
Люкс номер 40,4,068eb6a7-fd1d-431c-aca3-78b2f8000064
Люкс номер 41,5,068eb6a7-fd1d-431c-aca3-78b2f8000065
Люкс номер 42,6,068eb6a7-fd1d-431c-aca3-78b2f8000066
Люкс номер 43,7,068eb6a7-fd1d-431c-aca3-78b2f8000067
Люкс номер 44,8,068eb6a7-fd1d-431c-aca3-78b2f8000068
Люкс номер 45,0,068eb6a7-fd1d-431c-aca3-78b2f8000060
Люкс номер 46,1,068eb6a7-fd1d-431c-aca3-78b2f8000061
Люкс номер 47,2,068eb6a7-fd1d-431c-aca3-78b2f8000062
Люкс номер 48,3,068eb6a7-fd1d-431c-aca3-78b2f8000063
Люкс номер 49,4,068eb6a7-fd1d-431c-aca3-78b2f8000064
Люкс номер 50,5,068eb6a7-fd1d-431c-aca3-78b2f8000065
Люкс номер 51,6,068eb6a7-fd1d-431c-aca3-78b2f8000066
Люкс номер 52,7,068eb6a7-fd1d-431c-aca3-78b2f8000067
Люкс номер 53,8,068eb6a7-fd1d-431c-aca3-78b2f8000068
Люкс номер 54,0,068eb6a7-fd1d-431c-aca3-78b2f8000060
Люкс номер 55,1,068eb6a7-fd1d-431c-aca3-78b2f8000061
Люкс номер 56,2,068eb6a7-fd1d-431c-aca3-78b2f8000062
Люкс номер 57,3,068eb6a7-fd1d-431c-aca3-78b2f8000063
Люкс номер 58,4,068eb6a7-fd1d-431c-aca3-78b2f8000064
Люкс номер 59,5,068eb6a7-fd1d-431c-aca3-78b2f8000065
Люкс номер 60,6,068eb6a7-fd1d-431c-aca3-78b2f8000066
Люкс номер 61,7,068eb6a7-fd1d-431c-aca3-78b2f8000067
Люкс номер 62,8,068eb6a7-fd1d-431c-aca3-78b2f8000068
Люкс номер 63,0,068eb6a7-fd1d-431c-aca3-78b2f8000060
Люкс номер 64,1,068eb6a7-fd1d-431c-aca3-78b2f8000061
Люкс номер 65,2,068eb6a7-fd1d-431c-aca3-78b2f8000062
Люкс номер 66,3,068eb6a7-fd1d-431c-aca3-78b2f8000063
Люкс номер 67,4,068eb6a7-fd1d-431c-aca3-78b2f8000064
Люкс номер 68,5,068eb6a7-fd1d-431c-aca3-78b2f8000065
Люкс номер 69,6,068eb6a7-fd1d-431c-aca3-78b2f8000066
Люкс номер 70,7,068eb6a7-fd1d-431c-aca3-78b2f8000067
Люкс номер 71,8,068eb6a7-fd1d-431c-aca3-78b2f8000068
Люкс номер 72,0,068eb6a7-fd1d-431c-aca3-78b2f8000060
Люкс номер 73,1,068eb6a7-fd1d-431c-aca3-78b2f8000061
Люкс номер 74,2,068eb6a7-fd1d-431c-aca3-78b2f8000062
Люкс номер 75,3,068eb6a7-fd1d-431c-aca3-78b2f8000063
Люкс номер 76,4,068eb6a7-fd1d-431c-aca3-78b2f8000064
Люкс номер 77,5,068eb6a7-fd1d-431c-aca3-78b2f8000065
Люкс номер 78,6,068eb6a7-fd1d-431c-aca3-78b2f8000066
Люкс номер 79,7,068eb6a7-fd1d-431c-aca3-78b2f8000067
Люкс номер 80,8,068eb6a7-fd1d-431c-aca3-78b2f8000068
Люкс номер 81,0,068eb6a7-fd1d-431c-aca3-78b2f8000060
Люкс номер 82,1,068eb6a7-fd1d-431c-aca3-78b2f8000061
Люкс номер 83,2,068eb6a7-fd1d-431c-aca3-78b2f8000062
Люкс номер 84,3,068eb6a7-fd1d-431c-aca3-78b2f8000063
Люкс номер 85,4,068eb6a7-fd1d-431c-aca3-78b2f8000064
Люкс номер 86,5,068eb6a7-fd1d-431c-aca3-78b2f8000065
Люкс номер 87,6,068eb6a7-fd1d-431c-aca3-78b2f8000066
Люкс номер 88,7,068eb6a7-fd1d-431c-aca3-78b2f8000067
Люкс номер 89,8,068eb6a7-fd1d-431c-aca3-78b2f8000068
Люкс номер 90,0,068eb6a7-fd1d-431c-aca3-78b2f8000060
Люкс номер 91,1,068eb6a7-fd1d-431c-aca3-78b2f8000061
Люкс номер 92,2,068eb6a7-fd1d-431c-aca3-78b2f8000062
Люкс номер 93,3,068eb6a7-fd1d-431c-aca3-78b2f8000063
Люкс номер 94,4,068eb6a7-fd1d-431c-aca3-78b2f8000064
Люкс номер 95,5,068eb6a7-fd1d-431c-aca3-78b2f8000065
Люкс номер 96,6,068eb6a7-fd1d-431c-aca3-78b2f8000066
Люкс номер 97,7,068eb6a7-fd1d-431c-aca3-78b2f8000067
Люкс номер 98,8,068eb6a7-fd1d-431c-aca3-78b2f8000068
Люкс номер 99,0,068eb6a7-fd1d-431c-aca3-78b2f8000060
Люкс номер 100,1,068eb6a7-fd1d-431c-aca3-78b2f8000061
Люкс номер 101,2,068eb6a7-fd1d-431c-aca3-78b2f8000062
Люкс номер 102,3,068eb6a7-fd1d-431c-aca3-78b2f8000063
Люкс номер 103,4,068eb6a7-fd1d-431c-aca3-78b2f8000064
